X,Y,Nombre,Fatalidades
116.8483524,40.0515278,Beijing ,4
113.022704,34.2682976,Henan ,19
115.3368647,37.2730838,Hebei ,3
102.1023503,29.692816,Sichuan ,3
107.8197267,29.2836215,Chongqing ,5
130.2297001,46.4370177,Heilongjiang ,11
112.4538212,29.7510196,Hubei ,2615
122.5252842,13.6015792,Filipinas ,1
128.4392204,43.2805927,Jilin ,1
105.5324345,35.2509727,Gansu ,2
108.4328251,26.4370982,Guizhou ,1
117.6173954,38.7118006,Tianjin ,3
112.6076298,27.0005681,Hunan ,4
114.5302372,22.5325686,Hong Kong ,2
118.5884994,30.1932041,Anhui,6
118.7542591,35.6711426,Shanng,2
109.5027045,22.8635487,Guangxi,2
121.5371776,31.0729308,Shanghai,1
116.1689297,27.2243862,Fujian ,1
123.7898943,41.6394387,Liaoning,1
139.0963798,35.7193813,Japon,4
88.9550883,41.9226027,Sinkiang ,1
3.2958984,46.2351226,Francia ,2
121.4648438,23.9351528,Taiwan ,1
109.7777827,19.1493137,Hainan ,4
114.2118763,23.3689486,Guangng ,5
55.9886792,31.2791324,Iran ,34
128.2619979,36.7013978,Corea del Sur ,13
120.6734494,28.7884438,Zhejiang ,1
11.6117019,44.4322457,Emilia-Romana,1
12.2708816,45.0487224,Veneto,2
10.073616,45.268006,Lombardia,14
