X,Y,temperatura
-4202310.777,18546349.32,-33.8
-4146651.032,18546349.32,-33.8
-4090991.287,18546349.32,-33.9
-4035331.541,18546349.32,-33.9
-3979671.796,18546349.32,-34
-3924012.05,18546349.32,-33.9
-3868352.305,18546349.32,-33.9
-3812692.56,18546349.32,-33.9
-3757032.814,18546349.32,-33.9
-3701373.069,18546349.32,-33.8
-3645713.323,18546349.32,-33.8
-3590053.578,18546349.32,-33.8
-3534393.833,18546349.32,-33.7
-3478734.087,18546349.32,-33.7
-3423074.342,18546349.32,-33.6
-3367414.596,18546349.32,-33.6
-3311754.851,18546349.32,-33.6
-3256095.106,18546349.32,-33.7
-3200435.36,18546349.32,-33.6
-8042833.21,18054427.27,-36
-7987173.464,18054427.27,-36.2
-7875853.974,18054427.27,-36.1
-7820194.228,18054427.27,-35.8
-7764534.483,18054427.27,-35.7
-5204186.195,18054427.27,-33.8
-5148526.449,18054427.27,-33.8
-5092866.704,18054427.27,-34.5
-5037206.958,18054427.27,-34.6
-4981547.213,18054427.27,-34.4
-4925887.468,18054427.27,-34.4
-4870227.722,18054427.27,-34.7
-4814567.977,18054427.27,-34.7
-4758908.231,18054427.27,-34.2
-4703248.486,18054427.27,-34.5
-4647588.741,18054427.27,-34.3
-4591928.995,18054427.27,-34.3
-4536269.25,18054427.27,-34.3
-4480609.504,18054427.27,-34.1
-4424949.759,18054427.27,-34
-4369290.014,18054427.27,-33.5
-4313630.268,18054427.27,-33.4
-4257970.523,18054427.27,-33.2
-4202310.777,18054427.27,-33.3
-4146651.032,18054427.27,-33.3
-4090991.287,18054427.27,-33.3
-4035331.541,18054427.27,-33.1
-3979671.796,18054427.27,-32.9
-3924012.05,18054427.27,-32.9
-3868352.305,18054427.27,-33.2
-3812692.56,18054427.27,-33.1
-3757032.814,18054427.27,-32.8
-3701373.069,18054427.27,-32.9
-3645713.323,18054427.27,-33
-3590053.578,18054427.27,-33
-3534393.833,18054427.27,-33.2
-3478734.087,18054427.27,-33
-3423074.342,18054427.27,-33.1
-3367414.596,18054427.27,-34.1
-3311754.851,18054427.27,-33.1
-3256095.106,18054427.27,-34.1
-3200435.36,18054427.27,-34
-3144775.615,18054427.27,-33.8
-3089115.87,18054427.27,-33.7
-3033456.124,18054427.27,-33.7
-2977796.379,18054427.27,-33.6
-2922136.633,18054427.27,-33.4
-2866476.888,18054427.27,-33.2
-9156028.118,17597516.88,-36.9
-9100368.372,17597516.88,-37.1
-9044708.627,17597516.88,-37.1
-8989048.882,17597516.88,-37.3
-8933389.136,17597516.88,-35
-8877729.391,17597516.88,-35.1
-8822069.645,17597516.88,-34.5
-8766409.9,17597516.88,-34.9
-8710750.155,17597516.88,-34.5
-8655090.409,17597516.88,-34.6
-8599430.664,17597516.88,-34.5
-8543770.918,17597516.88,-35
-8488111.173,17597516.88,-34.8
-8432451.428,17597516.88,-33.9
-8376791.682,17597516.88,-34.2
-8321131.937,17597516.88,-34.3
-8265472.191,17597516.88,-34.4
-8209812.446,17597516.88,-34.9
-8154152.701,17597516.88,-35
-8098492.955,17597516.88,-34
-8042833.21,17597516.88,-33.8
-7987173.464,17597516.88,-33.6
-7931513.719,17597516.88,-33.6
-7875853.974,17597516.88,-33.7
-7820194.228,17597516.88,-34
-7764534.483,17597516.88,-34
-7708874.737,17597516.88,-34.1
-7653214.992,17597516.88,-34.6
-7597555.247,17597516.88,-34.4
-7541895.501,17597516.88,-34.5
-7486235.756,17597516.88,-34.3
-7430576.01,17597516.88,-34.2
-7374916.265,17597516.88,-34.2
-7319256.52,17597516.88,-34.4
-7263596.774,17597516.88,-34.9
-7207937.029,17597516.88,-36.6
-7152277.283,17597516.88,-36.4
-7096617.538,17597516.88,-36.2
-7040957.793,17597516.88,-35.7
