,Country,Homicides,Rate
0,Armenia,90,2.9
1,Australia,385,2
2,Brazil,39362,22.8
3,Bulgaria,327,4.1
4,Canada,539,1.8
5,"China, Hong Kong Special Administrative Region",63,1
6,Colombia,24355,61.2
7,Costa Rica,245,6.4
8,Croatia,111,2.5
9,Cyprus,10,1.1
10,Denmark,52,1
11,Ecuador,1682,13.6
12,Estonia,157,11.2
13,Finland,143,2.8
14,France,953,1.6
15,Germany,1005,1.2
16,Guyana,91,12
17,Hungary,253,2.5
18,Ireland,38,1
19,Jamaica,854,32.4
20,Japan,736,0.6
21,Kyrgyzstan,433,8.9
22,Lithuania,309,8.8
23,Mexico,12249,12.2
24,Netherlands,203,1.3
25,New Zealand,45,1.2
26,Norway,33,0.7
27,Panama,285,9.6
28,Poland,741,1.9
29,Portugal,109,1.1
30,Puerto Rico,593,15.7
31,Republic of Korea,385,0.8
32,Romania,566,2.5
33,Saint Lucia,16,10.3
34,Singapore,39,1
35,Slovenia,25,1.3
36,Spain,486,1.2
37,Sweden,101,1.1
38,Switzerland,89,1.2
39,United Kingdom (England and Wales),766,1.5
40,United Kingdom (Northern Ireland),34,2
41,United Kingdom (Scotland),120,2.4
42,United Kingdom of Great Britain and Northern Ireland,920,1.6
43,United States of America,15522,5.6
