"Country","Region","Subregion","Indicator","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Afghanistan","Asia","Southern Asia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,1115,983,1231,1948,,,3367,2289,2515
"Afghanistan","Asia","Southern Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,,4,3.4,4.1,6.3,,,10,6.6,7.1
"Albania","Europe","Southern Europe","Homicide Total Count",,,130,191,112,259,272,1334,660,532,131,220,216,166,131,154,95,105,93,85,127,142,157,124,117,82,99,68
"Albania","Europe","Southern Europe","Homicide Rate",,,4,6,3.6,8.3,8.8,43.1,21.3,17.1,4.2,7,6.9,5.3,4.2,5,3.1,3.5,3.1,2.9,4.3,4.9,5.4,4.2,4,2.8,3.4,2.3
"Algeria","Africa","Northern Africa","Homicide Total Count",,,,,,,,,,,,,,650,449,204,312,271,328,277,254,280,523,480,577,542,,
"Algeria","Africa","Northern Africa","Homicide Rate",,,,,,,,,,,,,,2,1.4,0.6,0.9,0.8,0.9,0.8,0.7,0.8,1.4,1.3,1.5,1.4,,
"American Samoa","Oceania","Polynesia","Homicide Total Count",,,,,,,,,,,,1,7,3,4,6,4,1,3,2,5,5,2,3,3,4,3,
"American Samoa","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,1.7,11.9,5.1,6.7,10.1,6.8,1.7,5.3,3.6,9,9,3.6,5.4,5.4,7.2,5.4,
"Andorra","Europe","Southern Europe","Homicide Total Count",,,,,,,,,,,,,,,1,,,0,1,0,0,1,0,0,0,0,,
"Andorra","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,,,,,1.3,,,0,1.2,0,0,1.2,0,0,0,0,,
"Angola","Africa","Middle Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,1055,1217,,,,,
"Angola","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,4.4,4.8,,,,,
"Anguilla","Americas","Caribbean","Homicide Total Count",0,1,0,1,0,1,0,1,0,0,1,0,2,2,1,0,5,4,1,1,0,0,5,1,4,,,
"Anguilla","Americas","Caribbean","Homicide Rate",0,11.5,0,10.8,0,10.2,0,9.7,0,0,9,0,17.1,16.6,8.1,0,38.8,30.4,7.5,7.4,0,0,35.4,7,27.7,,,
"Antigua and Barbuda","Americas","Caribbean","Homicide Total Count",1,3,2,4,5,7,3,1,,,5,7,5,5,4,3,11,17,16,16,6,,10,,,,,
"Antigua and Barbuda","Americas","Caribbean","Homicide Rate",1.5,4.5,2.9,5.7,7,9.5,4,1.3,,,6,8.2,5.8,5.7,4.5,3.4,12.2,18.6,17.3,17.1,6.3,,10.3,,,,,
"Argentina","Americas","South America","Homicide Total Count",,,,,,,,,,,,3129,3570,2967,2338,2198,2111,2139,2371,2642,2384,2511,2648,3072,3228,2837,2625,2289
"Argentina","Americas","South America","Homicide Rate",,,,,,,,,,,,8.6,9.7,8,6.2,5.8,5.5,5.5,6,6.6,5.8,6.1,6.3,7.3,7.6,6.6,6,5.2
"Armenia","Asia","Western Asia","Homicide Total Count",178,186,305,268,157,116,114,100,93,90,91,88,69,76,83,58,79,77,97,97,56,71,65,63,72,75,87,70
"Armenia","Asia","Western Asia","Homicide Rate",5,5.3,8.9,8,4.8,3.6,3.6,3.2,3,2.9,3,2.9,2.3,2.5,2.8,1.9,2.7,2.6,3.3,3.4,1.9,2.5,2.3,2.2,2.5,2.6,3,2.4
"Aruba","Americas","Caribbean","Homicide Total Count",0,,,,,6,,,,2,,4,5,4,2,6,5,3,5,4,4,2,4,6,2,,,
"Aruba","Americas","Caribbean","Homicide Rate",0,,,,,7.5,,,,2.2,,4.3,5.3,4.1,2,6,5,3,4.9,3.9,3.9,2,3.9,5.8,1.9,,,
"Australia","Oceania","Australia and New Zealand","Homicide Total Count",374,340,301,333,320,356,354,364,334,385,362,347,366,302,263,259,281,255,261,263,231,248,243,245,243,236,227,203
"Australia","Oceania","Australia and New Zealand","Homicide Rate",2.2,2,1.7,1.9,1.8,2,1.9,2,1.8,2,1.9,1.8,1.9,1.5,1.3,1.3,1.4,1.2,1.2,1.2,1,1.1,1.1,1.1,1,1,0.9,0.8
"Austria","Europe","Western Europe","Homicide Total Count",89,103,97,80,88,78,99,66,77,60,82,70,65,50,59,54,61,45,58,51,58,75,79,62,45,46,57,
"Austria","Europe","Western Europe","Homicide Rate",1.2,1.3,1.2,1,1.1,1,1.2,0.8,1,0.7,1,0.9,0.8,0.6,0.7,0.7,0.7,0.5,0.7,0.6,0.7,0.9,0.9,0.7,0.5,0.5,0.7,
"Azerbaijan","Asia","Western Asia","Homicide Total Count",329,357,564,478,499,443,400,284,280,242,226,218,212,183,201,192,190,189,192,,206,,202,221,236,225,208,201
"Azerbaijan","Asia","Western Asia","Homicide Rate",4.5,4.9,7.5,6.3,6.5,5.7,5.1,3.6,3.5,3,2.8,2.7,2.6,2.2,2.4,2.2,2.2,2.2,2.2,,2.3,,2.2,2.4,2.5,2.3,2.1,2
"Bahamas","Americas","Caribbean","Homicide Total Count",45,28,41,35,52,40,51,46,,,74,43,52,50,44,52,61,78,73,87,94,127,111,119,124,146,111,122
"Bahamas","Americas","Caribbean","Homicide Rate",17.6,10.7,15.4,12.9,18.8,14.3,18,16,,,24.8,14.2,16.8,15.8,13.6,15.8,18.2,22.8,20.9,24.5,26.1,34.6,29.8,31.5,32.4,37.7,28.4,30.9
